Brand,Name,City,Region,District,Rating,Review Count,Address,latitude,Longitude,PlaceID
Genesis,Genesis Wallan Showroom Riyadh,الرياض,منطقة الرياض,امارة منطقة الرياض,5,10,"3219, QJ3H+4PR, 7929 الطريق الدائري الشمالي الفرعي، النخيل، الرياض 12384, Saudi Arabia",24.7528125,46.6293125,ChIJlQpbBJbjLj4RhHcLDkP8CU4
Genesis,Genesis,Riyadh,Riyadh Province,Riyadh Principality,3.8,23,"4962 طريق مكة المكرمة الفرعي، الملك عبدالله، الرياض 12411 7341،، King Abdul Aziz, Riyadh 12411, Saudi Arabia",24.7038785,46.7441384,ChIJx30hy7URLz4RDkuePUnYRC4
Genesis,Genesis Service Center,Jeddah,Makkah Province,Jeddah,2.9,33,"Al Rayaan, Jeddah 23643, Saudi Arabia",21.674455,39.2045698,ChIJw4vLQtvXwxURGrqOnl9za-k
Genesis,شركة محمد يوسف ناغي للسيارات‎ { معرض جينيسيس جدة GENESIS Showroom Jeddah },Jeddah,Makkah Province,Jeddah,3.7,61,"J4X7+QF9, Al Mohammadiyyah, Jeddah 23617, Saudi Arabia",21.6492032,39.1136379,ChIJz-Xw8-XZwxUR2L9u4ErjngQ
Hyundai,Wallan Hyundai Showroom,Riyadh,Riyadh Province,Riyadh Principality,3.8,2816,"601 Makkah Al Mukarramah Rd, King Abdulaziz District, Riyadh 11471, Saudi Arabia",24.704647,46.744141,ChIJH-28aDgDLz4RVaJBkQ3HvOY
Hyundai,Wallan Hyundai Showroom,Riyadh,Riyadh Province,Riyadh Principality,3.6,973,"QM85+6J Exit-5, Northern Ring Branch road, Al Muruj, Riyadh 12283, Saudi Arabia",24.76556,46.659033,ChIJO8dmBcXiLj4R4wI-cY7zbOU
Hyundai,Wallan Hyundai Showroom,Riyadh,Riyadh Province,Riyadh Principality,3.6,755,"HJ8C+R9 Alawali, Exit 28, Western Ring Branch road, Badiyah Badiyah, Riyadh 14924, Saudi Arabia",24.567121,46.620946,ChIJ7dFxaZsQLz4RdmOIU0EGh1E
Hyundai,Wallan Hyundai Showroom,Riyadh,Riyadh Province,Riyadh Principality,3.7,308,"An Nasim Ash Sharqi, Riyadh 14242, Saudi Arabia",24.7611388,46.8380757,ChIJRyUgvWOqLz4ROL_W7kWF4z4
Hyundai,Wallan Hyundai Showroom,Riyadh,Riyadh Province,Riyadh Principality,3.5,171,"HM2M+89, Al Khalil Ibn Ahmad, road - Shifa Shifa, Riyadh 14721, Saudi Arabia",24.5507474,46.6834764,ChIJaRdGqI4PLz4RKt2wYTiza4k
Hyundai,Hyundai Workshop,Riyadh,Riyadh Province,Riyadh Principality,3.3,2229,"JQHW+X2, 6440 Najran, Al Faisaliyyah, Riyadh 12896, Saudi Arabia",24.6299375,46.7950625,ChIJdbHBmdYHLz4R_IVHkzYh_vk
